City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto natales,-51.7236,-72.4875,7.96,83,97,1.76,CL,2024-01-07
1,hinton,53.4001,-117.5857,-12.38,91,100,1.34,CA,2024-01-07
2,sanctuary point,-35.1114,150.629,26.66,63,64,8.43,AU,2024-01-07
3,blackmans bay,-43.0167,147.3167,24.07,90,100,2.02,AU,2024-01-07
4,boda,4.3189,17.4695,22.21,26,44,1.72,CF,2024-01-07
5,tiksi,71.6872,128.8694,-34.21,98,38,3.1,RU,2024-01-07
6,port-aux-francais,-49.35,70.2167,6.13,82,98,7.17,TF,2024-01-07
7,adamstown,-25.066,-130.1015,22.48,76,100,7.1,PN,2024-01-07
8,kavaratti,10.5669,72.642,28.32,73,99,4.36,IN,2024-01-07
9,port augusta,-32.5,137.7667,27.27,54,73,2.22,AU,2024-01-07
10,georgetown,5.4112,100.3354,29.97,79,20,4.12,MY,2024-01-07
11,george town,5.4112,100.3354,29.99,79,20,4.12,MY,2024-01-07
12,kristiansund,63.1115,7.732,-3.64,80,96,2.06,NO,2024-01-07
13,bilibino,68.0546,166.4372,-36.27,100,100,0.65,RU,2024-01-07
14,lebu,-37.6167,-73.65,14.99,93,19,2.3,CL,2024-01-07
15,palmer,42.1584,-72.3287,0.75,84,100,4.12,US,2024-01-07
16,isafjordur,66.0755,-23.124,2.63,91,90,4.96,IS,2024-01-07
17,lesozavodsk,45.4794,133.4244,-15.27,88,100,3.21,RU,2024-01-07
18,port elizabeth,-33.918,25.5701,21.29,78,0,3.6,ZA,2024-01-07
19,edinburgh of the seven seas,-37.0676,-12.3116,15.88,72,100,2.74,SH,2024-01-07
20,zouerate,22.7187,-12.4521,16.38,48,98,2.92,MR,2024-01-07
21,aasiaat,68.7098,-52.8699,-10.96,84,100,1.6,GL,2024-01-07
22,waitangi,-43.9535,-176.5597,15.46,85,56,0.89,NZ,2024-01-07
23,st. paul,44.9444,-93.0933,-0.4,89,100,0.45,US,2024-01-07
24,puerto ayora,-0.7393,-90.3518,25.31,94,78,1.34,EC,2024-01-07
25,taoudenni,22.6783,-3.9836,18.0,26,0,2.23,ML,2024-01-07
26,yellowknife,62.456,-114.3525,-34.28,75,0,1.54,CA,2024-01-07
27,jwaneng,-24.6004,24.7303,27.01,40,4,5.72,BW,2024-01-07
28,peterhead,57.5058,-1.7981,3.22,80,15,5.22,GB,2024-01-07
29,port moresby,-9.4431,147.1797,27.68,78,40,1.54,PG,2024-01-07
30,port macquarie,-31.4333,152.9167,26.61,55,79,6.54,AU,2024-01-07
31,grand falls-windsor,48.9332,-55.6649,-12.5,69,57,4.92,CA,2024-01-07
32,kitimat,54.0524,-128.6534,1.21,95,62,1.31,CA,2024-01-07
33,arkhangel'sk,64.5401,40.5433,-13.94,85,40,2.0,RU,2024-01-07
34,nacogdoches,31.6002,-94.6335,2.8,100,0,0.0,US,2024-01-07
35,nouadhibou,20.931,-17.0347,19.52,53,100,4.46,MR,2024-01-07
36,udachny,66.4167,112.4,-23.63,97,100,4.97,RU,2024-01-07
37,iqaluit,63.7506,-68.5145,-24.15,77,0,2.57,CA,2024-01-07
38,nuku'alofa,-21.1333,-175.2,29.19,74,75,3.09,TO,2024-01-07
39,jinchang,38.4953,102.1739,3.0,20,9,1.43,CN,2024-01-07
40,ilulissat,69.2167,-51.1,-8.99,73,100,3.09,GL,2024-01-07
41,chonchi,-42.6128,-73.8092,11.73,87,90,0.8,CL,2024-01-07
42,yeppoon,-23.1333,150.7333,30.88,67,38,6.43,AU,2024-01-07
43,nuriootpa,-34.4833,139.0,26.88,47,43,7.04,AU,2024-01-07
44,jiagedaqi,50.4167,124.1167,-15.17,65,1,3.01,CN,2024-01-07
45,amroha,28.9167,78.4667,18.27,50,0,0.91,IN,2024-01-07
46,college,64.8569,-147.8028,-20.31,74,20,4.12,US,2024-01-07
47,suva,-18.1416,178.4415,26.71,94,75,2.57,FJ,2024-01-07
48,nichinan,31.6,131.3667,12.82,52,23,7.14,JP,2024-01-07
49,ixtapa,20.7,-105.2,19.57,88,40,2.06,MX,2024-01-07
50,wellington,-41.2866,174.7756,21.99,48,14,5.66,NZ,2024-01-07
51,bethel,41.3712,-73.414,1.23,86,100,5.66,US,2024-01-07
52,ushuaia,-54.8,-68.3,9.81,66,0,4.63,AR,2024-01-07
53,kodiak,57.79,-152.4072,4.73,93,100,10.8,US,2024-01-07
54,sitka,57.0531,-135.33,-0.06,86,40,0.0,US,2024-01-07
55,antsiranana,-12.2787,49.2917,29.42,79,40,3.09,MG,2024-01-07
56,rio grande,-32.035,-52.0986,23.3,91,90,5.81,BR,2024-01-07
57,saint-francois,46.4154,3.9054,2.69,88,100,7.72,FR,2024-01-07
58,ciutadella,40.0011,3.8414,8.45,59,22,7.55,ES,2024-01-07
59,kyzyl-mazhalyk,51.1333,90.6,-16.72,92,98,0.45,RU,2024-01-07
